=== Magic Number Search Results for Range 42-44 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 42-44 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 42-44 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

PROGRESS: [43][Rook] 739 / 1024, Attempt 50000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 50000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 120000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 60000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 60000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 130000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 70000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 70000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 140000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 80000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 80000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 150000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 90000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 90000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 160000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 100000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 100000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 170000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 110000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 110000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 180000000
PROGRESS: [43][Rook] 739 / 1024, Attempt 120000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 120000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 190000000
[43][Rook] - a236006340aa0010 - Took 129403566 attempts, 11.36 minutes
PROGRESS: [44][Rook] 129 / 1024, Attempt 0
PROGRESS: [43][Rook] 771 / 1024, Attempt 130000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 200000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 140000000
PROGRESS: [44][Rook] 572 / 1024, Attempt 10000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 210000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 150000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 220000000
PROGRESS: [44][Rook] 572 / 1024, Attempt 20000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 160000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 230000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 30000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 170000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 240000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 40000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 180000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 250000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 50000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 190000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 260000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 60000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 200000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 270000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 70000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 210000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 280000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 80000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 220000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 290000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 90000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 230000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 300000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 100000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 240000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 310000000
PROGRESS: [44][Rook] 648 / 1024, Attempt 110000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 250000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 320000000
[44][Rook] - b00dda00071e0010 - Took 113070940 attempts, 10.80 minutes

=== FINAL SUMMARY ===
Completed at: Tue Jun 03 22:09:47 EDT 2025

Rook Magics:
rook_magics[43] = 0xa236006340aa0010L;
rook_magics[44] = 0xb00dda00071e0010L;

Bishop Magics:
PROGRESS: [43][Rook] 771 / 1024, Attempt 260000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 330000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 270000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 340000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 280000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 350000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 290000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 360000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 300000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 370000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 310000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 380000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 320000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 390000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 330000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 400000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 340000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 410000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 350000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 420000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 360000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 430000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 440000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 370000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 380000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 450000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 390000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 460000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 470000000
PROGRESS: [43][Rook] 771 / 1024, Attempt 400000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 410000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 480000000
PROGRESS: [43][Rook] 769 / 1024, Attempt 490000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 420000000
PROGRESS: [44][Rook] 153 / 1024, Attempt 0
PROGRESS: [43][Rook] 808 / 1024, Attempt 430000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 440000000
PROGRESS: [44][Rook] 587 / 1024, Attempt 10000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 450000000
PROGRESS: [44][Rook] 587 / 1024, Attempt 20000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 460000000
PROGRESS: [44][Rook] 587 / 1024, Attempt 30000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 470000000
PROGRESS: [44][Rook] 587 / 1024, Attempt 40000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 480000000
PROGRESS: [44][Rook] 587 / 1024, Attempt 50000000
PROGRESS: [43][Rook] 808 / 1024, Attempt 490000000
PROGRESS: [44][Rook] 587 / 1024, Attempt 60000000
PROGRESS: [44][Rook] 142 / 1024, Attempt 0
PROGRESS: [44][Rook] 587 / 1024, Attempt 70000000
PROGRESS: [44][Rook] 610 / 1024, Attempt 10000000
PROGRESS: [44][Rook] 647 / 1024, Attempt 80000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 20000000
PROGRESS: [44][Rook] 647 / 1024, Attempt 90000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 30000000
PROGRESS: [44][Rook] 652 / 1024, Attempt 100000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 40000000
PROGRESS: [44][Rook] 652 / 1024, Attempt 110000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 50000000
PROGRESS: [44][Rook] 652 / 1024, Attempt 120000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 60000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 130000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 70000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 140000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 80000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 150000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 90000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 160000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 100000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 170000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 110000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 180000000
PROGRESS: [44][Rook] 706 / 1024, Attempt 120000000
PROGRESS: [44][Rook] 701 / 1024, Attempt 190000000
[44][Rook] - dd6a00e068460010 - Took 126754016 attempts, 11.56 minutes

=== FINAL SUMMARY ===
Completed at: Tue Jun 03 22:42:31 EDT 2025

Rook Magics:
rook_magics[44] = 0xdd6a00e068460010L;

Bishop Magics:
PROGRESS: [44][Rook] 712 / 1024, Attempt 200000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 210000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 220000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 230000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 240000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 250000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 260000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 270000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 280000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 290000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 300000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 310000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 320000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 330000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 340000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 350000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 360000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 370000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 380000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 390000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 400000000
PROGRESS: [44][Rook] 712 / 1024, Attempt 410000000
